ts_code,trade_date,open,high,low,close,change,pct_chg,vol,amount,5MA,MACD,slowj,score,n_vol,n_amount
600559.SH,20140307,20.67,21.17,20.67,21.03,0.29,1.4,13913.58,29127.284,20.804,-0.811555469,27.42118446,0.70912765,-0.166395021,-0.233819078
600559.SH,20140310,20.9,20.99,20,20.12,-0.91,-4.33,10167.46,20944.234,20.804,-0.877595387,9.447595376,0.7182,-0.183971359,-0.255981858
600559.SH,20140311,20.12,20.91,20.1,20.9,0.78,3.88,11135.48,22979.956,20.804,-0.857112754,33.85733205,0.520944315,-0.179429527,-0.250468357
600559.SH,20140312,20.88,21.35,20.61,20.8,-0.1,-0.48,13862.3,29121.581,21.848,-0.839274648,39.25545908,0.386626022,-0.166635621,-0.233834524
600559.SH,20140313,20.71,22.63,20.71,22.3,1.5,7.21,38138.28,83812.014,21.848,-0.696076421,93.50850045,0.613127795,-0.052735687,-0.085712238
600559.SH,20140314,22.29,22.29,21.44,21.68,-0.62,-2.78,19313.64,41915.934,21.848,-0.625410273,91.09296171,0.609054944,-0.141058599,-0.199182598
600559.SH,20140317,21.48,22.08,21.28,21.95,0.27,1.25,16458.06,35738.282,21.848,-0.541379412,97.39391218,0.524377847,-0.154456632,-0.215914006
600559.SH,20140318,22,23.47,21.96,22.51,0.56,2.55,41210.7,93652.98,21.848,-0.424701338,71.9043008,0.406542852,-0.038320268,-0.059059197
600559.SH,20140319,22.59,23.07,22.05,22.51,0,0,21716.07,49032.648,22.42,-0.328446991,73.33630406,0.642861917,-0.129786691,-0.179907857
600559.SH,20140320,22.51,22.66,21.65,21.71,-0.8,-3.55,12786.62,28543.205,22.42,-0.313108719,55.47739146,0.676743129,-0.17168258,-0.235400984
600559.SH,20140321,21.51,22.09,21,21.99,0.28,1.29,11293.73,24343.739,22.42,-0.275187181,46.48400329,0.444892908,-0.178687037,-0.246774719
600559.SH,20140327,22.5,22.98,22.1,22.13,-0.36,-1.6,8234.3,18581.478,21.82,-0.052019817,38.64027307,0.678,-0.193041509,-0.262381091
600559.SH,20140328,22,22.6,21.2,21.69,-0.44,-1.99,13887.61,30176.109,21.82,-0.087686222,15.743067,0.410907942,-0.166516869,-0.230978465
600559.SH,20140331,21.69,21.9,21.1,21.22,-0.47,-2.17,8005.32,17131.998,21.82,-0.152123591,-4.370693084,0.615907544,-0.194115856,-0.266306829
600559.SH,20140401,21.48,21.67,21.29,21.57,0.35,1.65,6457.37,13916.419,21.82,-0.172954879,-0.861635927,0.431516701,-0.201378648,-0.275015827
600559.SH,20140402,21.63,22.93,21.63,22.36,0.79,3.66,20970.76,47114.426,22.486,-0.12428475,37.74197781,0.509275481,-0.133283595,-0.185103124
600559.SH,20140403,22,22.85,21.98,22.03,-0.33,-1.48,16679.01,37327.648,22.486,-0.111061318,60.56552218,0.428422638,-0.153419961,-0.211609404
600559.SH,20140404,22,22.56,21.77,22.29,0.26,1.18,5327.45,11822.103,22.486,-0.078694683,73.25792766,0.502232967,-0.206680095,-0.280688024
