ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist,slowk,slowd,slowj,score,Read_count
002594.SZ,20151214,60.8,62.0,60.51,62.0,61.59,0.41,0.67,81755.42,501215.13,63.01,62.43,62.87866667,-0.973520982,-0.738064589,-0.235456393,57.77113238,60.11950987,53.07437739,0.31546252399999997,290693
002594.SZ,20151215,62.14,63.21,62.14,62.56,62.0,0.56,0.9,102443.72,643587.3969,63.01,62.43,62.87866667,-0.904258653,-0.771303402,-0.132955251,56.13636364,59.42584813,49.55739466,0.509130404,65705
002594.SZ,20151216,62.6,63.0,62.03,62.9,62.56,0.34,0.54,77039.28,482091.1614,63.01,62.43,62.87866667,-0.812565847,-0.7795558909999999,-0.033009956,66.06060606,59.98936736,78.20308347,0.302423302,204834
002594.SZ,20151217,62.99,64.42,62.98,63.8,62.9,0.9,1.43,146785.76,936837.0823,63.01,62.43,62.87866667,-0.659671873,-0.755579087,0.095907215,76.79063361,66.3292011,97.71349862,0.319364403,172696
002594.SZ,20151218,63.7,63.89,62.51,63.79,63.8,-0.01,-0.02,139513.04,882077.7951,63.01,62.43,62.87866667,-0.533163239,-0.7110959179999999,0.17793267899999998,83.20936639,75.35353535,98.92102847,0.307413975,476857
002594.SZ,20151221,63.85,64.88,62.6,63.02,63.79,-0.77,-1.21,184738.4,1181361.868,62.958,63.06399999999999,62.87866667,-0.489395354,-0.666755805,0.177360451,79.69307137,79.89769046,79.28383319,0.334018495,415975
002594.SZ,20151222,63.1,63.26,62.05,62.82,63.02,-0.2,-0.32,104192.64,651366.0661,62.958,63.06399999999999,62.87866667,-0.465481538,-0.626500952,0.161019413,68.24984778,77.05076185,50.64801966,0.171748951,86205
002594.SZ,20151223,63.0,63.1,62.0,62.03,62.82,-0.79,-1.26,96203.18,600272.2824,62.958,63.06399999999999,62.87866667,-0.5044609520000001,-0.602092952,0.097631999,50.84956032,66.26415982,20.02036132,0.339040234,280451
002594.SZ,20151224,63.0,64.51,62.75,63.47,62.03,1.44,2.32,211588.07,1353368.3869999999,62.958,63.06399999999999,62.87866667,-0.41437974200000005,-0.56455031,0.150170568,51.79252479,56.96397763,41.44961911,0.317092587,247837
002594.SZ,20151225,63.5,63.95,62.58,63.45,63.47,-0.02,-0.03,100884.58,638018.5736,62.958,63.06399999999999,62.87866667,-0.34067646,-0.51977554,0.17909908,50.954794899999996,51.19896,50.46646469,0.33354397,343989
002594.SZ,20151228,63.45,64.17,62.05,62.14,63.45,-1.31,-2.06,126179.17,797895.7182,63.17,63.06399999999999,62.87866667,-0.383550795,-0.492530591,0.10897979599999999,40.98096237,47.90942735,27.124032399999997,0.38689180700000003,288406
002594.SZ,20151229,62.1,65.45,61.3,64.55,62.14,2.41,3.88,194985.23,1241166.288,63.17,63.06399999999999,62.87866667,-0.220520137,-0.4381285,0.217608363,44.50719545,45.48098424,42.55961787,0.414641666,196296
002594.SZ,20151230,65.0,67.0,65.0,66.0,64.55,1.45,2.25,223650.46,1478921.073,63.17,63.06399999999999,62.87866667,0.025393001000000002,-0.3454242,0.37081720100000004,55.21016816,46.89944199,71.83162049,0.3709467,140350
002594.SZ,20151231,66.01,66.95,64.01,64.4,66.0,-1.6,-2.42,143745.04,938969.6476,63.17,63.06399999999999,62.87866667,0.09013528300000001,-0.258312303,0.34844758600000003,71.71845276,57.14527212,100.864814,0.37286169799999996,155541
002594.SZ,20160104,64.4,64.4,58.4,58.76,64.4,-5.64,-8.76,114880.14,709177.5866,63.17,63.06399999999999,62.87866667,-0.310082419,-0.268666327,-0.041416093,47.00938392,57.97933495,25.06948188,0.434821086,130139
002594.SZ,20160105,55.8,60.61,55.8,59.35,58.76,0.59,1.0,166704.92,983037.0613,58.498000000000005,58.53,54.26066667,-0.573044068,-0.329541875,-0.243502193,30.08948,49.60577223,-8.943104459,0.516655047,377292
002594.SZ,20160106,59.5,60.78,59.37,60.42,59.35,1.07,1.8,98824.86,594339.8698,58.498000000000005,58.53,54.26066667,-0.687181609,-0.401069822,-0.286111787,25.71082503,34.26989632,8.592682449,0.622747721,31948
002594.SZ,20160107,59.0,59.47,55.0,55.41,60.42,-5.01,-8.29,41293.1,236717.5525,58.498000000000005,58.53,54.26066667,-1.1684325979999999,-0.554542377,-0.613890222,25.45436508,27.08489004,22.19331517,0.36830271700000006,451902
002594.SZ,20160108,58.0,60.68,56.7,59.43,55.41,4.02,7.26,203567.18,1201830.685,58.498000000000005,58.53,54.26066667,-1.211481863,-0.6859302740000001,-0.525551589,27.19444444,26.11987818,29.34357697,0.45029800700000006,320096
002594.SZ,20160111,57.99,60.99,57.2,57.88,59.43,-1.55,-2.61,200493.5,1184370.789,58.498000000000005,58.53,54.26066667,-1.355050581,-0.8197543359999999,-0.535296246,21.44444444,24.69775132,14.93783069,0.323261666,290986
