ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist,slowk,slowd,slowj
002594.SZ,20151215,62.14,63.21,62.14,62.56,62,0.56,0.9,102443.72,643587.3969,63.01,62.43,62.87866667,-0.904258653,-0.771303402,-0.132955251,56.13636364,59.42584813,49.55739466
002594.SZ,20151216,62.6,63,62.03,62.9,62.56,0.34,0.54,77039.28,482091.1614,63.01,62.43,62.87866667,-0.812565847,-0.779555891,-0.033009956,66.06060606,59.98936736,78.20308347
002594.SZ,20151217,62.99,64.42,62.98,63.8,62.9,0.9,1.43,146785.76,936837.0823,63.01,62.43,62.87866667,-0.659671873,-0.755579087,0.095907215,76.79063361,66.3292011,97.71349862
002594.SZ,20151218,63.7,63.89,62.51,63.79,63.8,-0.01,-0.02,139513.04,882077.7951,63.01,62.43,62.87866667,-0.533163239,-0.711095918,0.177932679,83.20936639,75.35353535,98.92102847
002594.SZ,20151221,63.85,64.88,62.6,63.02,63.79,-0.77,-1.21,184738.4,1181361.868,62.958,63.064,62.87866667,-0.489395354,-0.666755805,0.177360451,79.69307137,79.89769046,79.28383319
002594.SZ,20151222,63.1,63.26,62.05,62.82,63.02,-0.2,-0.32,104192.64,651366.0661,62.958,63.064,62.87866667,-0.465481538,-0.626500952,0.161019413,68.24984778,77.05076185,50.64801966
002594.SZ,20151223,63,63.1,62,62.03,62.82,-0.79,-1.26,96203.18,600272.2824,62.958,63.064,62.87866667,-0.504460952,-0.602092952,0.097631999,50.84956032,66.26415982,20.02036132
002594.SZ,20151224,63,64.51,62.75,63.47,62.03,1.44,2.32,211588.07,1353368.387,62.958,63.064,62.87866667,-0.414379742,-0.56455031,0.150170568,51.79252479,56.96397763,41.44961911
002594.SZ,20151225,63.5,63.95,62.58,63.45,63.47,-0.02,-0.03,100884.58,638018.5736,62.958,63.064,62.87866667,-0.34067646,-0.51977554,0.17909908,50.9547949,51.19896,50.46646469
002594.SZ,20151228,63.45,64.17,62.05,62.14,63.45,-1.31,-2.06,126179.17,797895.7182,63.17,63.064,62.87866667,-0.383550795,-0.492530591,0.108979796,40.98096237,47.90942735,27.1240324
002594.SZ,20151229,62.1,65.45,61.3,64.55,62.14,2.41,3.88,194985.23,1241166.288,63.17,63.064,62.87866667,-0.220520137,-0.4381285,0.217608363,44.50719545,45.48098424,42.55961787
002594.SZ,20151230,65,67,65,66,64.55,1.45,2.25,223650.46,1478921.073,63.17,63.064,62.87866667,0.025393001,-0.3454242,0.370817201,55.21016816,46.89944199,71.83162049
002594.SZ,20151231,66.01,66.95,64.01,64.4,66,-1.6,-2.42,143745.04,938969.6476,63.17,63.064,62.87866667,0.090135283,-0.258312303,0.348447586,71.71845276,57.14527212,100.864814
002594.SZ,20160104,64.4,64.4,58.4,58.76,64.4,-5.64,-8.76,114880.14,709177.5866,63.17,63.064,62.87866667,-0.310082419,-0.268666327,-0.041416093,47.00938392,57.97933495,25.06948188
002594.SZ,20160105,55.8,60.61,55.8,59.35,58.76,0.59,1,166704.92,983037.0613,58.498,58.53,54.26066667,-0.573044068,-0.329541875,-0.243502193,30.08948,49.60577223,-8.943104459
002594.SZ,20160106,59.5,60.78,59.37,60.42,59.35,1.07,1.8,98824.86,594339.8698,58.498,58.53,54.26066667,-0.687181609,-0.401069822,-0.286111787,25.71082503,34.26989632,8.592682449
002594.SZ,20160107,59,59.47,55,55.41,60.42,-5.01,-8.29,41293.1,236717.5525,58.498,58.53,54.26066667,-1.168432598,-0.554542377,-0.613890222,25.45436508,27.08489004,22.19331517
002594.SZ,20160108,58,60.68,56.7,59.43,55.41,4.02,7.26,203567.18,1201830.685,58.498,58.53,54.26066667,-1.211481863,-0.685930274,-0.525551589,27.19444444,26.11987818,29.34357697
002594.SZ,20160111,57.99,60.99,57.2,57.88,59.43,-1.55,-2.61,200493.5,1184370.789,58.498,58.53,54.26066667,-1.355050581,-0.819754336,-0.535296246,21.44444444,24.69775132,14.93783069
002594.SZ,20160112,58.75,60.18,57.95,59.82,57.88,1.94,3.35,153174.36,909233.3424,58.562,58.53,54.26066667,-1.297333189,-0.915270106,-0.382063083,33.69444444,27.44444444,46.19444444
002594.SZ,20160113,60.48,61.3,57.36,57.36,59.82,-2.46,-4.11,148988.71,881214.0375,58.562,58.53,54.26066667,-1.433567902,-1.018929666,-0.414638237,27.97187355,27.70358748,28.50844568
002594.SZ,20160114,56.5,59.98,56.3,59.9,57.36,2.54,4.43,146238.55,853221.3133,58.562,58.53,54.26066667,-1.321346462,-1.079413025,-0.241933438,37.34776007,33.00469269,46.03389484
002594.SZ,20160115,59.01,59.8,57.02,58.05,59.9,-1.85,-3.09,109584,639074.9572,58.562,58.53,54.26066667,-1.36594395,-1.13671921,-0.22922474,40.09643732,35.13869031,50.01193134
002594.SZ,20160118,57.01,58.6,56.52,57.68,58.05,-0.37,-0.64,105704.97,607753.5816,58.562,58.53,54.26066667,-1.414834358,-1.19234224,-0.222492119,47.69334684,41.71251474,59.65501104
002594.SZ,20160119,57.5,59.1,56.98,58.87,57.68,1.19,2.06,137399.99,798925.2821,56.558,52.243,54.26066667,-1.342086566,-1.222291105,-0.119795461,50.79365079,46.19447832,59.99199574
002594.SZ,20160120,59,59.7,57.1,57.74,58.87,-1.13,-1.92,113692.67,663507.6674,56.558,52.243,54.26066667,-1.359938448,-1.249820573,-0.110117875,44.25608466,47.58102743,37.60619911
002594.SZ,20160121,57.1,58.3,56,56.02,57.74,-1.72,-2.98,115329.17,660993.1444,56.558,52.243,54.26066667,-1.495635069,-1.298983473,-0.196651597,30.20197664,41.7505707,7.104788526
002594.SZ,20160122,56.2,56.85,53.4,55.16,56.02,-0.86,-1.54,123017.58,677639.106,56.558,52.243,54.26066667,-1.6535098,-1.369888738,-0.283621062,17.1519465,30.53666927,-9.617499028
002594.SZ,20160125,55.7,56,54.25,55,55.16,-0.16,-0.29,89777.12,494629.2683,56.558,52.243,54.26066667,-1.771120944,-1.450135179,-0.320985765,14.30300135,20.55230816,1.804387731
002594.SZ,20160126,54.17,54.89,49.5,49.97,55,-5.03,-9.15,151616.15,787099.0756,47.928,52.243,54.26066667,-2.244336275,-1.608975398,-0.635360876,15.67212613,15.70902466,15.59832907
002594.SZ,20160127,50.48,50.68,45.01,48.18,49.97,-1.79,-3.58,132860.38,632329.6575,47.928,52.243,54.26066667,-2.732304567,-1.833641232,-0.898663335,15.39043278,15.12185342,15.92759149
002594.SZ,20160128,47,48.2,45.07,45.3,48.18,-2.88,-5.98,94022.02,439850.3734,47.928,52.243,54.26066667,-3.313222124,-2.129557411,-1.183664713,9.297421945,13.45332695,0.985611932
002594.SZ,20160129,45.2,48.4,45.2,47.59,45.3,2.29,5.06,105753.49,494660.8506,47.928,52.243,54.26066667,-3.547921381,-2.413230205,-1.134691177,13.65683367,12.7815628,15.40737542
002594.SZ,20160201,47.85,49.58,47.3,48.6,47.59,1.01,2.12,116492.75,567275.3911,47.928,52.243,54.26066667,-3.610800613,-2.652744286,-0.958056327,14.65849784,12.53758449,18.90032456
002594.SZ,20160202,48.61,50.79,48.6,50.46,48.6,1.86,3.83,105173.34,528591.539,50.43,52.009,54.26066667,-3.470540175,-2.816303464,-0.654236711,27.66987946,18.66173699,45.68616439
002594.SZ,20160203,50.39,50.68,49.73,50.41,50.46,-0.05,-0.1,66779.99,334550.9351,50.43,52.009,54.26066667,-3.325087807,-2.918060333,-0.407027475,37.01825949,26.44887893,58.15702061
002594.SZ,20160204,51,52.3,50.71,51.21,50.41,0.8,1.59,71640.66,369396.7081,50.43,52.009,54.26066667,-3.109418997,-2.956332066,-0.153086931,47.67710255,37.4550805,68.12114666
002594.SZ,20160205,51.5,51.9,50.01,50.07,51.21,-1.14,-2.23,65890.92,333300.4346,50.43,52.009,54.26066667,-2.995952904,-2.964256233,-0.03169667,51.07920189,45.25818798,62.72122971
002594.SZ,20160215,48.19,50.47,47.9,50,50.07,-0.07,-0.14,52054.95,256365.4964,50.43,52.009,54.26066667,-2.878497099,-2.947104407,0.068607307,58.69314299,52.48314914,71.11313068
