trade_date,close£¨Y£©,change(X2),pct_chg(x3),vol(X4),MACD(X5),slowj(X6),score(X7),read(X8)
20160801,58.9,-0.45,-0.76,-0.563145019,-0.230474406,11.56015019,0.557253654,1.224429149
20160802,58.96,0.06,0.1,-0.535849406,-0.332256498,4.303207912,0.45775627,0.593575891
20160803,58.84,-0.12,-0.2,-0.631417887,-0.417786554,1.054227949,0.242844152,-0.241726892
20160804,59.08,0.24,0.41,-0.589857144,-0.460890882,12.48291942,0.566612742,0.257070243
20160805,58.77,-0.31,-0.52,-0.495831311,-0.514139106,11.74844787,0.351496059,1.775508008
20160808,58.91,0.14,0.24,-0.534831012,-0.538830574,25.88477811,0.322489406,0.285778006
20160809,59.15,0.24,0.41,-0.460386889,-0.532889922,46.67241225,0.407515972,1.238868354
20160810,58.89,-0.26,-0.44,-0.571155422,-0.542903487,57.71787019,0.320754026,0.021221666
20160812,59.27,0.67,1.14,-0.414663139,-0.527203288,58.00036251,0.330301765,2.211566662
20160815,60.07,0.8,1.35,-0.053143526,-0.425652675,84.17480412,0.324920531,-0.072932315
20160816,59.92,-0.15,-0.25,-0.204661974,-0.353205298,102.385011,0.35298348,0.256963331
20160817,60.72,0.8,1.34,-0.129914153,-0.228601738,94.15014764,0.394731815,1.481433845
20160818,60.06,-0.66,-1.09,-0.359218398,-0.18102229,69.8528355,0.680089258,2.16923592
20160819,59.86,-0.2,-0.33,-0.538335413,-0.157636429,51.92553717,0.633756035,1.322678658
20160822,58.68,-1.18,-1.97,-0.329165261,-0.231648801,-2.540071069,0.656457568,1.535890805
20160823,58.91,0.23,0.39,-0.567028402,-0.268648251,-18.36620846,0.508156037,1.940708717
20160824,59.08,0.17,0.29,-0.595155359,-0.281013652,-12.26454492,0.331285266,1.320075777
20160825,58.2,-0.88,-1.49,-0.310178124,-0.35769864,15.26236152,0.482330432,2.244121179
20160829,58.29,-0.06,-0.1,-0.293425414,-0.436448683,19.20535891,0.384591189,1.002672315
20160830,58.47,0.18,0.31,-0.523588634,-0.444311445,26.80140394,0.279815143,2.685424659
20160831,58.55,0.08,0.14,-0.618937801,-0.439026585,36.91266445,0.247034294,-0.078752818
20160901,58.46,-0.09,-0.15,-0.594130594,-0.43706236,42.60153391,0.379482425,2.697740029
20160902,57.86,-0.6,-1.03,-0.485496884,-0.478405918,26.04176656,0.316196194,-0.073450424
20160906,59.51,1.59,2.75,-0.149812965,-0.385374041,70.72226348,0.530260128,1.200507726
20160907,58.97,-0.54,-0.91,-0.426503234,-0.333814336,101.2328436,0.410686488,2.356320569
20160908,58.9,-0.07,-0.12,-0.580072452,-0.29519845,109.3931897,0.548053647,-0.484520597
20160909,59.01,0.11,0.19,-0.291017835,-0.252804825,51.12250936,0.390724356,5.65424698
20160912,57.67,-1.34,-2.27,-0.376320968,-0.323604066,0.376105583,0.338772191,0.040669258
20160913,57.02,-0.65,-1.13,-0.293358983,-0.427237614,-20.20573378,0.404188801,1.334021545
20160914,56.01,-1.01,-1.77,-0.341887082,-0.584132984,-33.26302565,0.3095792,2.416750174
20160919,56.68,0.67,1.2,-0.51041561,-0.646952628,1.74189478,0.510945238,2.71503089
20160920,56.31,-0.37,-0.65,-0.594904772,-0.718313288,11.14776495,0.426676421,0.322923545
20160923,56.98,-0.12,-0.21,-0.625523031,-0.685468566,31.17860852,0.429343603,1.05517403
20160926,55.4,-1.58,-2.77,-0.432687807,-0.788725532,17.52940364,0.396015136,0.805753875
20160928,55.33,-0.11,-0.2,-0.671360451,-0.910289678,2.323492275,0.496712323,0.254757256
20160929,55.21,-0.12,-0.22,-0.546242487,-0.950890667,9.956633089,0.458753837,1.287675459
20160930,55.59,0.38,0.69,-0.599742517,-0.941550808,23.66808147,0.469047821,-0.009320039
