trade_date,close,change,30MA,MACD,slowj,score,n_vol,n_amount,Go
20171109,67.99,0.62,64.84,1.086453263,92.90225751,0.495291304,0.874631263,1.187196649,0
20171110,67.65,-0.34,64.84,1.160489722,83.89907863,0.474711111,0.471436598,0.739115813,1
20171113,70.1,2.45,64.84,1.400712136,92.40403173,0.414404762,1.715887651,2.141460895,0
20171114,68,-2.1,64.84,1.405436682,79.54522766,0.545464706,0.939821238,1.280610915,1
20171115,63.96,-4.04,64.84,1.070842674,29.22827934,0.478688462,1.633739072,1.874065513,1
20171116,64.23,0.27,64.84,0.818031498,-14.92744518,0.526653571,0.308145718,0.49315968,0
20171117,63.59,-0.64,64.84,0.559583636,-29.38258728,0.508709524,0.304032513,0.506164355,1
20171120,69.49,5.9,64.84,0.821374244,61.18162831,0.525336842,2.199673803,2.56443339,0
20171121,72.3,2.81,64.84,1.24128,111.4377272,0.581253333,3.129103415,3.845318838,0
20171122,72.79,0.49,64.84,1.595208669,140.905874,0.504394118,2.277839424,2.925729392,0
20171123,70.61,-2.18,64.84,1.68042106,93.12712969,0.446356522,1.439846469,1.941847243,1
20171124,70.7,0.09,64.84,1.735212295,66.09403712,0.560733333,1.421384438,1.89492332,0
20171127,63.63,-7.07,64.84,1.194376797,9.576594225,0.289258333,2.930039738,3.27326939,1
20171128,64.73,1.1,64.84,0.844783438,-4.011654739,0.4262,1.530172857,1.697721882,0
20171129,64.35,-0.38,64.84,0.530944955,-14.2777548,0.424815385,0.610804629,0.801539946,1
20171130,62.22,-2.13,64.84,0.109094919,4.253924871,0.503731579,0.507096767,0.668014436,1
20171201,63.35,1.13,64.84,-0.132515165,7.319649728,0.467326667,0.083495002,0.251642539,0
20171204,63.43,0.08,64.84,-0.313918904,4.751401526,0.300552632,0.027875364,0.213546073,0
20171205,62.69,-0.74,64.84,-0.511498257,12.01301997,0.350003125,0.185322747,0.35741941,1
20171206,60.9,-1.79,64.84,-0.803259877,17.99493908,0.468371429,2.153978047,2.158097882,1
20171207,59.07,-1.83,64.84,-1.168676989,11.25592063,0.312815,0.264681781,0.358107856,1
20171208,59.75,0.68,64.84,-1.387409176,24.05666363,0.486447059,0.368600964,0.466976541,0
20171211,62.59,2.84,64.84,-1.316416911,56.95536776,0.418940741,0.667934948,0.798915782,0
20171212,62.07,-0.52,64.84,-1.287275769,83.83454795,0.38890625,0.661408201,0.817921531,1
20171213,63,0.93,64.84,-1.175586547,101.0151576,0.285035294,-0.0285899,0.132780777,0
20171214,63.66,0.66,64.84,-1.022034176,93.1634162,0.445166667,0.140483097,0.313288881,0
20171215,62.75,-0.91,64.84,-0.962675091,88.08405112,0.467620833,0.197275188,0.354278483,1
20171218,62.51,-0.24,64.84,-0.924343329,81.03973847,0.482652941,-0.286934066,-0.120335127,1
20171219,62.29,-0.22,64.84,-0.901327351,64.29077658,0.537430769,-0.379674344,-0.215236409,1
20171220,60.8,-1.49,64.84,-0.991883752,36.44281203,0.28543125,-0.051675873,0.091736111,1
20171221,62,1.2,64.62466667,-0.955802486,29.93361225,0.407972727,-0.138533729,0.00991853,0
20171222,62.2,0.2,64.62466667,-0.900686935,35.15235972,0.420263158,-0.38608236,-0.220392761,0
20171225,61.99,-0.21,64.62466667,-0.863993134,58.22387164,0.405513333,-0.443213025,-0.278206913,1
20171226,63.36,1.37,64.62466667,-0.716110604,83.95760851,0.4386,0.132413998,0.304686011,0
20171227,67.11,3.75,64.62466667,-0.29294212,87.30728527,0.515263333,2.027121909,2.331076309,0
20171228,65.68,-1.43,64.62466667,-0.072135562,80.84660544,0.61863871,1.092896764,1.379369986,1
20171229,65.05,-0.63,64.62466667,0.051426676,49.96080192,0.48085625,0.16576519,0.367661909,1
20180102,65.85,0.8,64.62466667,0.211466302,45.1232177,0.529436842,0.414605812,0.644311741,0
20180103,66.12,0.27,64.62466667,0.355982063,58.76854773,0.486692857,0.699844901,0.939020734,0
20180104,65.05,-1.07,64.62466667,0.37979376,52.85834319,0.490647826,0.314141688,0.529406937,1
20180105,64.38,-0.67,64.62466667,0.340674222,33.04182508,0.547523077,0.158133473,0.34809114,1
20180108,65.21,0.83,64.62466667,0.372353509,24.41751037,0.480594444,0.5251532,0.747447062,0
20180109,65.42,0.21,64.62466667,0.409682256,27.73666382,0.541,0.03651497,0.244983873,0
20180110,65.67,0.25,64.62466667,0.454202701,36.96850128,0.583887755,0.036005729,0.243900208,0
20180111,65.4,-0.27,64.62466667,0.462368831,42.62313104,0.522589655,-0.170896609,0.032488345,1
20180112,67.08,1.68,64.62466667,0.59751473,77.69920668,0.518829412,1.207351218,1.51194602,0
20180115,65.14,-1.94,64.62466667,0.541831149,60.73899012,0.654335714,0.699624252,0.950117364,1
20180116,64.8,-0.34,64.62466667,0.464907191,32.01153487,0.5537625,0.055061299,0.256826909,1
20180117,63.75,-1.05,64.62466667,0.315580361,-6.501073295,0.44675,0.29235427,0.466622558,1
20180118,63.17,-0.58,64.62466667,0.148722243,-2.522039842,0.517864286,-0.200806561,-0.021894006,1
20180119,63.2,0.03,64.62466667,0.01869127,6.640096042,0.355077778,-0.446460679,-0.271521368,0
20180122,66.6,3.4,64.62466667,0.187827216,52.79324395,0.6389,0.938776037,1.181302488,0
20180123,66.81,0.21,64.62466667,0.33495279,94.4146293,0.618019048,0.372891171,0.622198726,0
20180124,66.51,-0.3,64.62466667,0.422473365,114.6690519,0.456593333,-0.169539783,0.045728153,1
20180125,65.64,-0.87,64.62466667,0.416827395,73.68316438,0.617691304,-0.118599596,0.099028384,1
20180126,65.5,-0.14,64.62466667,0.396485654,51.39822616,0.588633333,-0.317611911,-0.116725458,1
20180129,62.9,-2.6,64.62466667,0.168622629,9.373176627,0.53035625,0.392478899,0.577465984,1
20180130,63.45,0.55,64.62466667,0.032050486,-3.821854706,0.469583333,-0.406073844,-0.228168964,0
20180131,63.04,-0.41,64.62466667,-0.108022281,-21.83784723,0.507614286,-0.424259948,-0.247846641,1
20180201,60.66,-2.38,64.62466667,-0.406392429,0.636043077,0.44637619,0.412799282,0.528748131,1
20180202,61.9,1.24,62.82433333,-0.536609582,20.02241106,0.58705,-0.246645578,-0.09449478,0
