shijian,score,Read_count
20180728,0.410062245,132470
20180729,0.315274332,129962
20180730,0.657916435,697876
20180731,0.641539013,1071027
20180801,0.582938423,2052740
20180802,0.462094196,464814
20180803,0.373274967,1340652
20180804,0.451211938,286751
20180805,0.642647183,323811
20180806,0.347508203,508776
20180807,0.31572837,83539
20180808,0.519472902,273453
20180809,0.471565406,97086
20180810,0.9837,6840
20180811,0.566603921,38285
20180812,0.393760718,42264
20180813,0.405051753,150302
20180814,0.224917119,273254
20180815,0.556381083,447997
20180816,0.48664641,301105
20180817,0.357025826,107062
20180820,0.431411888,199699
20180821,0.447076433,17346
20180822,0.50688144,166211
20180823,0.381587122,33655
20180824,0.258855843,156965
20180825,0.457678523,26614
20180827,0.489831804,6474
20180828,0.417264688,171578
20180829,0.237208907,66113
20180830,0.387972312,149004
20180831,0.320098334,163943
20180901,0.476912647,64095
20180902,0.1845982,22836
20180903,0.264342632,175966
20180904,0.562382817,133255
20180905,0.398707745,200291
20180906,0.373354316,26031
20180907,0.373328293,123156
20180908,0.6881147,64632
20180910,0.542316221,46279
20180911,0.313331129,90351
20180912,0.470866932,106479
20180913,0.290014142,98130
20180914,0.536666839,63559
20180915,0.444178032,111842
20180916,0.71909381,80229
20180917,0.540993696,554473
20180918,0.495917535,557384
20180919,0.437908964,165951
20180920,0.558532727,999510
20180921,0.424589168,522263
20180922,0.299056332,103600
20180923,0.426654263,83630
20180924,0.365553247,68792
20180925,0.242994287,123270
20180926,0.211524749,229782
20180927,0.632617037,242487
20180928,0.694569003,908534
20180929,0.786572028,1106698
20180930,0.65228952,585715
20181001,0.509822889,41268
20181002,0.385678957,135638
20181003,0.2088,11004
20181004,0.108918598,42155
20181005,0.351784473,29047
20181006,0.553596447,65475
20181008,0.540734099,12537
20181009,0.625952763,141716
20181010,0.404978914,236845
20181011,0.4191163,147048
20181012,0.34333121,197760
20181013,0.403839925,28799
20181014,0.5053,1576
20181015,0.504838012,10652
20181016,0.541238061,155037
20181017,0.707791906,58256
20181018,0.342649658,36411
20181019,0.527675333,250618
20181020,0.712092382,17537
20181021,0.30931474,3555
20181023,0.557581882,1675297
20181024,0.419327535,68905
20181025,0.134648889,388927
20181026,0.40353935,101139
20181029,0.497927776,234479
20181030,0.659648413,351888
20181031,0.498599838,200005
20181101,0.597586645,3215482
20181102,0.429063824,145117
20181105,0.697467587,233964
20181106,0.238586983,29161
20181107,0.570254029,250692
